ID,1,2,3,4,5,6,7,8,Grand Total
206_wi20,1,1,NA,NA,1,NA,1,NA,4
207_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
209_wi20,1,1,NA,NA,1,1,NA,NA,4
211_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
212_wi20,1,1,NA,NA,NA,1,NA,NA,3
213_wi20,1,NA,NA,1,1,1,1,1,6
214_wi20,1,1,1,1,1,1,1,1,8
215_wi20,1,1,1,1,NA,NA,1,1,6
216_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
217_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
221_wi20,1,1,1,1,1,1,NA,1,7
222_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
224_wi20,1,1,1,NA,1,1,1,1,7
225_wi20,1,1,1,1,1,1,1,1,8
226_wi20,1,1,NA,1,1,1,1,1,7
227_wi20,1,1,NA,NA,NA,NA,NA,NA,2
228_wi20,1,1,1,1,1,1,NA,1,7
230_wi20,1,1,1,1,1,1,1,1,8
231_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
232_wi20,1,1,NA,1,1,1,NA,1,6
234_wi20,NA,1,1,1,1,1,1,1,7
235_wi20,1,1,1,1,1,1,1,NA,7
236_wi20,NA,1,1,1,1,1,1,1,7
237_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
238_wi20,NA,1,NA,NA,NA,NA,NA,NA,1
239_wi20,1,1,1,1,1,1,1,1,8
240_wi20,1,1,1,1,1,1,1,1,8
244_wi20,1,NA,1,1,1,NA,1,1,6
245_wi20,1,1,1,1,1,1,1,1,8
248_wi20,1,1,1,1,1,1,1,1,8
249_wi20,NA,NA,NA,NA,1,NA,NA,NA,1
250_wi20,1,1,1,1,1,1,1,NA,7
251_wi20,1,1,NA,NA,NA,NA,NA,NA,2
252_wi20,NA,1,1,1,1,1,1,1,7
256_wi20,1,1,1,1,NA,NA,1,1,6
257_wi20,NA,1,1,1,1,NA,1,NA,5
258_wi20,1,1,1,1,1,1,1,1,8
259_wi20,1,1,1,1,1,1,1,1,8
260_wi20,1,1,1,1,1,1,1,1,8
261_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
262_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
265_wi20,NA,NA,1,NA,NA,NA,NA,NA,1
266_wi20,1,1,1,1,NA,1,1,1,7
267_wi20,1,NA,1,1,1,1,1,1,7
270_wi20,1,1,NA,1,NA,1,NA,NA,4
274_wi20,NA,1,1,1,1,1,1,1,7
275_wi20,1,1,1,1,1,NA,1,NA,6
276_wi20,1,1,1,1,1,1,1,1,8
277_wi20,1,1,1,1,1,1,1,1,8
279_wi20,1,NA,1,1,1,NA,1,1,6
283_wi20,NA,1,1,1,1,1,1,1,7
284_wi20,1,1,1,1,1,1,1,1,8
285_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
286_wi20,1,NA,2,1,1,1,1,1,8
287_wi20,1,1,1,1,1,1,1,1,8
290_wi20,1,1,1,1,1,1,1,1,8
292_wi20,1,NA,1,NA,NA,NA,NA,NA,2
293_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
295_wi20,1,1,1,1,1,1,1,1,8
296_wi20,1,1,NA,NA,NA,NA,NA,NA,2
297_wi20,1,1,1,1,1,1,1,1,8
298_wi20,1,1,NA,1,1,1,NA,1,6
305_wi20,NA,1,NA,NA,NA,NA,NA,NA,1
310_wi20,1,1,1,1,1,1,1,1,8
311_wi20,1,1,1,1,1,1,1,1,8
313_wi20,1,1,1,1,1,1,1,1,8
315_wi20,1,1,NA,1,1,1,1,1,7
316_wi20,1,NA,1,1,1,1,1,1,7
318_wi20,1,1,NA,NA,1,1,1,1,6
320_wi20,NA,1,1,1,1,1,1,1,7
321_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
323_wi20,NA,NA,NA,1,NA,1,NA,1,3
324_wi20,1,NA,1,1,1,1,1,1,7
326_wi20,1,NA,NA,1,NA,NA,NA,NA,2
329_wi20,1,1,1,1,1,1,1,1,8
330_wi20,1,1,1,1,1,1,1,1,8
331_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
332_wi20,1,1,1,1,1,1,1,NA,7
336_wi20,1,1,1,1,1,1,1,1,8
337_wi20,1,1,NA,1,1,1,1,1,7
339_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
341_wi20,1,1,1,1,1,1,NA,1,7
342_wi20,1,1,1,1,1,1,1,1,8
343_wi20,1,1,1,NA,NA,NA,NA,NA,3
345_wi20,1,1,NA,1,1,1,1,1,7
346_wi20,1,1,NA,NA,NA,NA,NA,NA,2
348_wi20,1,1,1,1,NA,1,1,1,7
349_wi20,1,1,NA,1,1,1,1,1,7
350_wi20,1,1,1,1,1,1,1,1,8
351_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
352_wi20,1,1,1,1,1,1,1,1,8
354_wi20,1,1,NA,1,1,1,NA,1,6
355_wi20,1,1,1,1,1,1,1,1,8
356_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
357_wi20,1,1,1,1,1,1,1,1,8
359_wi20,1,NA,1,1,1,NA,1,1,6
360_wi20,NA,NA,1,NA,NA,NA,NA,NA,1
362_wi20,1,1,1,1,1,1,1,1,8
363_wi20,1,1,NA,1,1,1,1,1,7
364_wi20,1,1,NA,1,1,1,1,1,7
366_wi20,1,1,1,1,1,1,1,1,8
368_wi20,1,1,1,1,1,1,1,1,8
370_wi20,1,NA,NA,NA,1,NA,NA,NA,2
372_wi20,1,NA,NA,1,1,NA,NA,NA,3
373_wi20,1,1,1,1,1,1,1,1,8
374_wi20,1,1,1,1,1,1,1,1,8
375_wi20,1,1,1,1,1,1,1,1,8
376_wi20,1,1,1,1,1,1,1,1,8
379_wi20,NA,1,1,1,1,1,1,1,7
380_wi20,1,1,NA,1,1,1,1,1,7
382_wi20,1,1,1,1,1,1,1,1,8
383_wi20,1,1,1,1,1,1,1,1,8
385_wi20,1,1,1,1,1,1,1,1,8
386_wi20,1,1,NA,1,1,1,1,1,7
388_wi20,1,NA,1,1,1,1,NA,1,6
389_wi20,1,NA,NA,NA,NA,NA,NA,NA,1
391_wi20,1,1,1,1,1,1,1,1,8
392_wi20,1,1,NA,NA,NA,NA,NA,NA,2
