ID,piazza views,hw_t,section,p_stat_sum,difficulty,workload,project_t,number of subjects learned ,How comfortable are you with programming?_x,How comfortable are you with statistics?_x,classes,lanuage,total_points,Major,Level,label
007_wi20,0.0,7.5,1.0,0.0,-0.5,-0.5,15.0,5.0,10.0,8.0,0,1,97.48,CS26,SR,3
021_wi20,117.0,30.0,0.0,0.0,-0.5,-0.5,40.0,4.0,6.0,6.0,1,1,84.74,CG35,SR,3
026_wi20,234.0,10.5,0.0,6.0,0.0,-0.5,15.0,8.0,7.0,4.0,1,1,97.73,DS25,SR,3
027_wi20,43.0,21.0,2.0,0.0,-0.5,-0.5,30.0,3.0,10.0,5.0,0,1,96.95,CS26,SR,3
034_wi20,40.0,15.0,0.0,1.0,-0.5,-0.5,15.0,9.0,9.0,6.0,0,1,96.7,CS26,SR,3
035_wi20,21.0,24.0,2.0,3.0,-0.5,-0.5,15.0,3.0,8.0,6.0,0,0,98.26,CS26,JR,3
039_wi20,0.0,5.45,0.0,0.0,-1.0,-1.0,5.0,9.0,10.0,6.0,0,2,91.34,CS26,SR,3
049_wi20,0.0,35.0,0.0,0.0,-1.0,0.0,20.0,2.0,10.0,5.0,0,1,98.66,CS26,JR,3
050_wi20,13.0,8.0,2.0,1.0,-1.0,-1.0,10.0,10.0,9.0,8.0,1,2,95.28,DS25,SR,3
059_wi20,81.0,32.0,0.0,3.0,-0.5,0.0,15.0,9.0,8.0,6.0,0,2,96.86,CS26,SR,3
068_wi20,0.0,16.0,0.0,0.0,-0.5,-0.5,15.0,4.0,6.0,6.0,0,1,101.15,PY26,SR,3
070_wi20,0.0,9.0,0.0,0.0,-1.0,-1.0,5.0,12.0,10.0,8.0,1,2,100.74,DS25,JR,3
080_wi20,58.0,38.0,1.0,6.0,-0.5,0.0,8.0,3.0,10.0,5.0,0,1,97.18,CS26,SR,3
084_wi20,129.0,7.0,2.0,2.0,-0.5,-0.5,21.0,4.0,9.0,7.0,0,1,98.43,CS26,SR,3
