ID,piazza views,hw_t,section,p_stat_sum,difficulty,workload,project_t,number of subjects learned ,How comfortable are you with programming?_x,How comfortable are you with statistics?_x,classes,lanuage,total_points,Major,Level,label
005_wi20,52.0,41.0,8.0,1.0,0.0,0.0,20.0,1.0,6.0,6.0,0,0,101.15,CS26,JR,0
011_wi20,125.0,42.0,8.0,4.0,0.0,0.0,48.0,2.0,7.0,3.0,0,0,95.72,CS26,SR,0
014_wi20,0.0,54.0,8.0,0.0,0.0,0.0,40.0,2.0,4.0,7.0,0,0,98.7,CS26,JR,0
015_wi20,85.0,16.5,5.0,2.0,0.0,0.0,15.0,7.0,8.0,6.0,0,1,93.73,BE28,SR,0
024_wi20,0.0,22.0,7.0,0.0,0.0,0.0,15.0,1.0,10.0,2.0,0,0,99.55,CS26,JR,0
031_wi20,302.0,38.0,8.0,4.0,0.0,0.0,40.0,2.0,6.0,3.0,1,1,100.05,CG33,JR,0
032_wi20,0.0,80.0,7.0,0.0,0.0,0.0,22.0,4.0,4.0,4.0,0,0,98.01,CG30,SR,0
033_wi20,101.0,52.0,7.0,14.0,0.5,0.5,30.0,5.0,5.0,4.0,1,1,96.72,CG33,JR,0
044_wi20,33.0,19.0,7.0,1.0,0.0,0.0,40.0,2.0,6.0,8.0,1,2,95.15,CG27,SR,0
057_wi20,65.0,57.0,8.0,3.0,0.5,0.5,20.0,1.0,10.0,2.0,0,0,97.9,CS28,SR,0
099_wi20,12.0,26.0,7.0,2.0,0.0,0.0,15.0,1.0,3.0,3.0,0,1,96.13,MC27,JR,0
114_wi20,34.0,29.0,8.0,4.0,0.5,0.5,17.0,2.0,6.0,7.0,0,1,103.63,IS34,SR,0
115_wi20,107.0,36.5,7.0,3.0,0.0,0.0,20.0,2.0,5.0,3.0,0,0,103.0,CG35,JR,0
139_wi20,81.0,21.0,8.0,1.0,0.0,0.0,10.0,2.0,7.0,5.0,0,0,99.14,CG33,JR,0
183_wi20,47.0,50.0,8.0,11.0,0.0,0.0,22.0,3.0,6.0,4.0,1,2,87.66,CG29,JR,0
214_wi20,0.0,131.0,8.0,0.0,1.0,0.5,40.0,1.0,1.0,1.0,1,1,76.63,CG25,JR,0
221_wi20,0.0,36.0,7.0,0.0,0.5,0.5,12.0,4.0,4.0,2.0,1,1,95.83,CG25,JR,0
224_wi20,279.0,31.0,7.0,4.0,0.5,1.0,9.0,3.0,3.0,4.0,1,1,98.2,CG29,JR,0
225_wi20,82.0,20.0,8.0,1.0,0.0,0.0,10.0,4.0,7.0,5.0,0,0,98.61,CS26,JR,0
226_wi20,55.0,13.0,7.0,2.0,0.0,0.0,20.0,9.0,8.0,6.0,1,1,100.85,DS25,JR,0
228_wi20,74.0,43.0,7.0,3.0,0.0,0.5,20.0,0.0,2.0,2.0,1,0,97.61,CG31,JR,0
230_wi20,68.0,95.0,8.0,2.0,0.0,0.0,50.0,7.0,4.0,5.0,1,1,96.73,CG25,SR,0
252_wi20,140.0,17.5,7.0,1.0,0.0,0.5,15.0,2.0,4.0,5.0,0,1,96.4,CG33,JR,0
258_wi20,0.0,24.0,8.0,0.0,0.0,0.0,10.0,2.0,8.0,8.0,0,0,94.2,CG35,SR,0
266_wi20,31.0,38.0,7.0,3.0,0.5,0.0,25.0,3.0,3.0,3.0,1,2,91.17,CG25,SR,0
267_wi20,170.0,19.0,7.0,5.0,0.0,0.0,40.0,3.0,7.0,7.0,0,2,101.75,BE28,SR,0
286_wi20,0.0,30.0,8.0,0.0,-0.5,0.0,18.0,0.0,8.0,6.0,0,0,97.93,CS26,JR,0
310_wi20,0.0,22.5,8.0,0.0,0.0,0.0,12.0,2.0,2.0,3.0,1,1,98.95,CG25,JR,0
329_wi20,78.0,29.0,8.0,3.0,0.0,0.0,30.0,1.0,8.0,7.0,0,0,101.15,MA30,SO,0
341_wi20,128.0,40.0,7.0,3.0,0.0,0.5,7.0,2.0,4.0,5.0,1,1,98.12,CG35,JR,0
349_wi20,21.0,25.0,7.0,1.0,0.0,0.0,18.0,0.0,7.0,6.0,0,0,96.05,CG34,JR,0
352_wi20,46.0,28.0,8.0,0.0,-0.5,0.5,20.0,4.0,7.0,3.0,1,2,96.75,CG35,JR,0
354_wi20,0.0,44.0,6.0,0.0,-0.5,0.0,15.0,0.0,5.0,1.0,0,0,87.04,CG33,SR,0
355_wi20,38.0,22.0,8.0,3.0,0.5,0.5,15.0,2.0,8.0,7.0,0,0,102.83,CS26,JR,0
357_wi20,114.0,36.0,8.0,6.0,0.0,0.5,10.0,5.0,4.0,7.0,0,3,95.9,MA33,SR,0
359_wi20,0.0,17.0,6.0,0.0,0.0,0.0,35.0,2.0,6.0,5.0,1,1,102.07,DS25,SR,0
366_wi20,178.0,35.0,8.0,8.0,0.0,0.5,10.0,1.0,7.0,8.0,0,0,95.12,CG29,JR,0
368_wi20,0.0,18.5,8.0,0.0,-0.5,0.0,30.0,2.0,8.0,6.0,0,0,97.74,CS26,JR,0
382_wi20,161.0,33.0,8.0,1.0,0.0,0.0,35.0,1.0,3.0,7.0,0,0,102.49,CG35,JR,0
385_wi20,0.0,25.0,8.0,0.0,0.0,0.0,10.0,4.0,8.0,8.0,0,0,96.14,PY29,SR,0
391_wi20,49.0,35.0,8.0,0.0,0.0,0.5,15.0,8.0,4.0,3.0,1,2,97.87,CG35,JR,0
395_wi20,0.0,46.0,8.0,0.0,0.0,0.0,40.0,5.0,6.0,7.0,1,1,101.02,CG35,SR,0
397_wi20,219.0,67.0,8.0,5.0,0.0,-0.5,50.0,1.0,6.0,3.0,0,0,97.5,CS26,JR,0
399_wi20,17.0,26.0,7.0,1.0,0.0,0.0,17.0,2.0,3.0,6.0,0,1,94.21,BE25,SR,0
408_wi20,58.0,33.0,6.0,1.0,0.0,0.5,15.0,4.0,6.0,6.0,0,1,96.44,CG30,JR,0
415_wi20,85.0,23.0,7.0,5.0,-0.5,0.0,30.0,3.0,8.0,9.0,0,0,100.35,CG33,JR,0
430_wi20,0.0,52.0,7.0,0.0,-0.5,0.5,40.0,4.0,10.0,8.0,0,0,96.89,CG25,SR,0
441_wi20,43.0,30.0,5.0,9.0,0.0,0.5,8.0,9.0,9.0,7.0,0,1,95.03,CG25,SR,0
444_wi20,0.0,61.0,6.0,0.0,0.0,0.0,80.0,3.0,7.0,3.0,0,1,96.7,EC26,SR,0
