ID,piazza views,hw_t,section,p_stat_sum,difficulty,workload,project_t,number of subjects learned ,How comfortable are you with programming?_x,How comfortable are you with statistics?_x,classes,lanuage,total_points,Major,Level,label
002_wi20,173.0,18.0,0.0,6.0,0.5,-0.5,30.0,4.0,6.0,5.0,0,1,97.95,CS26,JR,2
017_wi20,0.0,50.0,0.0,0.0,0.0,0.0,20.0,5.0,7.0,2.0,0,2,93.1,EC26,JR,2
019_wi20,0.0,40.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,8.0,0,0,91.79,CG33,SR,2
041_wi20,0.0,17.5,0.0,0.0,0.0,0.0,20.0,4.0,9.0,8.0,0,2,96.37,MA30,SR,2
075_wi20,57.0,27.5,0.0,3.0,0.5,0.5,25.0,2.0,5.0,6.0,1,1,97.56,CG25,SO,2
085_wi20,34.0,17.5,0.0,2.0,-0.5,0.0,20.0,4.0,5.0,3.0,1,0,93.7,PC29,SR,2
117_wi20,0.0,50.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,6.0,1,1,92.41,CG29,SR,2
118_wi20,0.0,25.0,0.0,0.0,0.0,0.0,20.0,1.0,5.0,7.0,0,0,96.75,BI36,JR,2
119_wi20,154.0,48.0,1.0,29.0,0.0,0.5,20.0,7.0,8.0,7.0,1,1,95.55,CG33,JR,2
148_wi20,63.0,26.0,0.0,0.0,-0.5,0.0,10.0,0.0,5.0,2.0,0,0,92.75,CS26,SO,2
149_wi20,37.0,42.0,0.0,7.0,0.0,0.0,40.0,2.0,7.0,6.0,0,0,91.69,EC26,SR,2
153_wi20,0.0,17.0,1.0,0.0,0.5,0.5,30.0,9.0,10.0,4.0,1,2,99.73,EC27,SR,2
159_wi20,0.0,29.0,0.0,0.0,0.0,0.0,20.0,9.0,10.0,6.0,0,2,101.68,CS26,SR,2
163_wi20,0.0,44.0,0.0,0.0,0.0,-0.5,30.0,3.0,8.0,2.0,0,1,94.61,CS26,JR,2
186_wi20,235.0,49.0,1.0,5.0,0.0,0.0,10.0,2.0,6.0,6.0,1,1,99.57,CG29,JR,2
192_wi20,51.0,32.0,1.0,3.0,0.0,0.0,10.0,3.0,5.0,6.0,1,1,99.67,CG29,JR,2
208_wi20,50.0,28.0,0.0,2.0,0.0,0.0,20.0,3.0,5.0,7.0,0,2,94.78,CG27,SR,2
216_wi20,192.0,18.0,1.0,1.0,0.0,0.0,7.0,8.0,6.0,9.0,1,2,103.0,EN25,SR,2
246_wi20,0.0,16.0,0.0,0.0,1.0,0.5,55.0,0.0,4.0,5.0,0,0,83.33,CG29,SR,2
280_wi20,0.0,44.0,0.0,0.0,0.5,0.5,30.0,0.0,3.0,3.0,0,2,97.43,CS26,SR,2
282_wi20,0.0,19.0,0.0,0.0,0.0,0.0,10.0,8.0,9.0,9.0,0,1,97.69,EC26,SO,2
285_wi20,72.0,14.0,1.0,4.0,0.0,0.0,10.0,7.0,9.0,8.0,0,3,100.85,CS26,SR,2
309_wi20,274.0,16.0,0.0,0.0,0.0,0.0,8.0,5.0,8.0,5.0,1,1,97.0,DS25,SO,2
321_wi20,24.0,38.0,1.0,0.0,0.5,1.0,10.0,3.0,2.0,8.0,0,0,96.23,CG25,SR,2
326_wi20,0.0,39.0,2.0,0.0,0.5,0.5,12.0,2.0,6.0,8.0,0,0,92.33,CG33,SR,2
333_wi20,144.0,37.0,0.0,0.0,0.5,0.5,20.0,5.0,8.0,8.0,1,1,95.75,CG29,JR,2
334_wi20,0.0,46.0,0.0,0.0,0.0,0.0,22.0,7.0,7.0,8.0,1,2,93.45,CG29,SR,2
346_wi20,74.0,28.0,2.0,7.0,0.0,0.0,20.0,3.0,6.0,5.0,1,1,98.53,CG35,SO,2
351_wi20,0.0,42.0,1.0,0.0,0.5,0.5,5.0,2.0,3.0,3.0,0,0,98.22,CG30,SR,2
361_wi20,0.0,28.0,0.0,0.0,0.0,0.0,12.0,2.0,6.0,2.0,0,1,88.91,CG33,JR,2
371_wi20,0.0,21.0,0.0,0.0,0.0,0.5,25.0,9.0,8.0,2.0,0,1,97.37,CS26,JR,2
387_wi20,0.0,35.0,0.0,0.0,0.0,0.0,20.0,2.0,8.0,6.0,0,1,96.56,CG30,SR,2
405_wi20,26.0,38.0,3.0,0.0,0.5,0.5,8.0,0.0,3.0,5.0,0,0,93.82,CG34,SR,2
422_wi20,65.0,22.0,1.0,5.0,0.5,0.5,25.0,1.0,8.0,7.0,0,0,99.35,CG33,JR,2
436_wi20,29.0,38.0,0.0,3.0,0.0,0.0,20.0,2.0,5.0,5.0,1,1,93.36,CG35,JR,2
